routeid,stand1,stand2,stand3,stand4,stand5,stand6
915UP_DTC,"['1500', 'Nangloi JJ Colony Lokesh Cinema', '1500', 'Nangloi JJ Colony Lokesh Cinema']","['temp_5213', 'Mundka Xing', 'temp_5213', 'Mundka Xing']",,,,
917DOWN_DTC,"['2431', 'Dev Nagar / Khalsa College', '2431', 'Dev Nagar / Khalsa College']",,,,,
918DOWN_DTC,"['2431', 'Dev Nagar / Khalsa College', '2431', 'Dev Nagar / Khalsa College']",,,,,
918UP_DTC,"['4250', 'Nangloi', '1372', 'Nangloi']",,,,,
921EXTUP_DTC,"['2917', 'Model Town II', '2917', 'Model Town II']","['689', 'Mangol Pur School (Kanjhawla Road)', '689', 'Mangol Pur School (Kanjhawla Road)']",,,,
921UP_DTC,"['2917', 'Model Town II', '2917', 'Model Town II']",,,,,
923UP_DTC,"['temp_6299', 'NILOTHI CROSSING', 'temp_6299', 'NILOTHI CROSSING']",,,,,
924DOWN_DTC,"['1344', 'Mile Stone / Shiv Shankar Dharam Kanta', '1344', 'Mile Stone / Shiv Shankar Dharam Kanta']",,,,,
924UP_DTC,"['800', 'Zakhira Flyover', '800', 'Zakhira Flyover']","['1500', 'Nangloi JJ Colony Lokesh Cinema', '1500', 'Nangloi JJ Colony Lokesh Cinema']",,,,
926DOWN_DTC,"['1344', 'Mile Stone / Shiv Shankar Dharam Kanta', '1344', 'Mile Stone / Shiv Shankar Dharam Kanta']",,,,,
926UP_DTC,"['4250', 'Nangloi', '1372', 'Nangloi']",,,,,
928DOWN_DTC,"['1344', 'Mile Stone / Shiv Shankar Dharam Kanta', '1344', 'Mile Stone / Shiv Shankar Dharam Kanta']",,,,,
928UP_DTC,"['1903', 'Mile Stone / Shiv Shankar Dharam Kanta', '1903', 'Mile Stone / Shiv Shankar Dharam Kanta']",,,,,
929UP_DTC,"['800', 'Zakhira Flyover', '800', 'Zakhira Flyover']",,,,,
934DOWN_DTC,"['1344', 'Mile Stone / Shiv Shankar Dharam Kanta', '1344', 'Mile Stone / Shiv Shankar Dharam Kanta']",,,,,
934UP_DTC,"['1500', 'Nangloi JJ Colony Lokesh Cinema', '1500', 'Nangloi JJ Colony Lokesh Cinema']",,,,,
935UP_DTC,"['1500', 'Nangloi JJ Colony Lokesh Cinema', '1500', 'Nangloi JJ Colony Lokesh Cinema']",,,,,
938ADOWN_DTC,"['1344', 'Mile Stone / Shiv Shankar Dharam Kanta', '1344', 'Mile Stone / Shiv Shankar Dharam Kanta']","['temp_6023', 'Peeragarhi Chowk', 'temp_6023', 'Peeragarhi Chowk']",,,,
938AUP_DTC,"['1500', 'Nangloi JJ Colony Lokesh Cinema', '1500', 'Nangloi JJ Colony Lokesh Cinema']",,,,,
938BDOWN_DTC,"['1007', 'Rohini Sec 18', '1940', 'Rohini Sec 18']",,,,,
940ADOWN_DTC,"['1770', 'Moti Nagar Industrial Area', '1771', 'Moti Nagar Industrial Area']",,,,,
940DOWN_DTC,"['1770', 'Moti Nagar Industrial Area', '1771', 'Moti Nagar Industrial Area']",,,,,
940UP_DTC,"['514', 'Shaheed Bhagat Singh Marg', '515', 'Shaheed Bhagat Singh Marg']",,,,,
943DOWN_DTC,"['4019', 'Govt Press Kali Mandir', '4019', 'Govt Press Kali Mandir']",,,,,
947ADOWN_DTC,"['1344', 'Mile Stone / Shiv Shankar Dharam Kanta', '1344', 'Mile Stone / Shiv Shankar Dharam Kanta']","['temp_6420', 'Mahipal Pur Extension', 'temp_8641', 'Mahipal Pur Extension']","['temp_8637', 'Vasant Kunj Sec-D/3-4', '3696', 'Vasant Kunj Sec-D/3-4']","['temp_9102', 'sp school', 'temp_9102', 'sp school']",,
947AUP_DTC,"['temp_9102', 'sp school', 'temp_9102', 'sp school']","['2507', 'Mahipal Pur Village', 'temp_6889', 'Mahipal Pur Village']","['1500', 'Nangloi JJ Colony Lokesh Cinema', '1500', 'Nangloi JJ Colony Lokesh Cinema']",,,
947DOWN_DTC,"['1344', 'Mile Stone / Shiv Shankar Dharam Kanta', '1344', 'Mile Stone / Shiv Shankar Dharam Kanta']","['temp_5196', 'Peera Garhi Depot', 'temp_6524', 'Peera Garhi Depot']","['temp_6889', 'Mahipal Pur Village', '2508', 'Mahipal Pur Village']",,,
947UP_DTC,"['2507', 'Mahipal Pur Village', 'temp_6889', 'Mahipal Pur Village']","['temp_6524', 'Peera Garhi Depot', 'temp_5196', 'Peera Garhi Depot']","['1903', 'Mile Stone / Shiv Shankar Dharam Kanta', '1903', 'Mile Stone / Shiv Shankar Dharam Kanta']",,,
948UP_DTC,"['1912', 'Bawana Depot', '1313', 'Bawana Depot']","['temp_4733', 'Narela Terminal', 'temp_4733', 'Narela Terminal']",,,,
949ADOWN_DTC,"['1344', 'Mile Stone / Shiv Shankar Dharam Kanta', '1344', 'Mile Stone / Shiv Shankar Dharam Kanta']",,,,,
949AUP_DTC,"['3066', 'ITO', '134', 'ITO']","['4250', 'Nangloi', '1372', 'Nangloi']",,,,
949DOWN_DTC,"['1344', 'Mile Stone / Shiv Shankar Dharam Kanta', '1344', 'Mile Stone / Shiv Shankar Dharam Kanta']","['2431', 'Dev Nagar / Khalsa College', '2431', 'Dev Nagar / Khalsa College']",,,,
949EXTDOWN_DTC,"['1344', 'Mile Stone / Shiv Shankar Dharam Kanta', '1344', 'Mile Stone / Shiv Shankar Dharam Kanta']","['447', 'Nizamuddin Road Bridge', '447', 'Nizamuddin Road Bridge']",,,,
949EXTUP_DTC,"['447', 'Nizamuddin Road Bridge', 'temp_5439', 'Nizamuddin Road Bridge']","['4250', 'Nangloi', '1372', 'Nangloi']",,,,
949UP_DTC,"['4250', 'Nangloi', '1372', 'Nangloi']",,,,,
957DOWN_DTC,"['692', 'Rohini Sec 20/21 More', '982', 'Rohini Sec 20/21 More']","['3930', 'Rohini Sec 3/4/5/6 Xing (Vishram Chowk)', 'temp_7254', 'Rohini Sec 3/4/5/6 Xing (Vishram Chowk)']",,,,
962ADOWN_DTC,"['temp_4875', 'Karala Village', '974', 'Karala Village']","['4112', 'E Block Mangol Puri', '4239', 'E Block Mangol Puri']",,,,
962AUP_DTC,"['2014', 'Gole Market', 'temp_4605', 'Gole Market']","['4112', 'E Block Mangol Puri', '4239', 'E Block Mangol Puri']","['414', 'Karala Village', '3633', 'Karala Village']",,,
962DOWN_DTC,"['4239', 'E Block Mangol Puri', '4112', 'E Block Mangol Puri']",,,,,
966BDOWN_DTC,"['3774', 'Panchkuian Road', '2877', 'Panchkuian Road']","['temp_7175', 'Sunder Nagar', 'temp_7175', 'Sunder Nagar']","['temp_5071', 'Nizamuddin Extension', '1788', 'Nizamuddin Extension']",,,
966DOWN_DTC,"['3774', 'Panchkuian Road', '2877', 'Panchkuian Road']","['temp_7174', 'Sunder Nagar', 'temp_7175', 'Sunder Nagar']","['temp_5071', 'Nizamuddin Extension', '1788', 'Nizamuddin Extension']",,,
966EXTDOWN_DTC,"['3774', 'Panchkuian Road', '2877', 'Panchkuian Road']","['temp_7174', 'Sunder Nagar', 'temp_7175', 'Sunder Nagar']","['temp_5071', 'Nizamuddin Extension', '1788', 'Nizamuddin Extension']",,,
970AUP_DTC,"['1025', 'Prithvi Raj Road', '4257', 'Prithvi Raj Road']",,,,,
970BUP_DTC,"['1025', 'Prithvi Raj Road', '4257', 'Prithvi Raj Road']",,,,,
970CUP_DTC,"['1025', 'Prithvi Raj Road', '4257', 'Prithvi Raj Road']",,,,,
970UP_DTC,"['1025', 'Prithvi Raj Road', '4257', 'Prithvi Raj Road']",,,,,
971AUP_DTC,"['2917', 'Model Town II', '2917', 'Model Town II']",,,,,
971UP_DTC,"['2917', 'Model Town II', '2917', 'Model Town II']",,,,,
972ADOWN_DTC,"['2347', 'Meera Bagh', '2347', 'Meera Bagh']","['2943', 'Peera Garhi Chowk', '1379', 'Peera Garhi Chowk']",,,,
972AUP_DTC,"['2943', 'Peera Garhi Chowk', '1379', 'Peera Garhi Chowk']",,,,,
972BDOWN_DTC,"['2939', 'Prehlad Vihar (Deep Vihar)', '2939', 'Prehlad Vihar (Deep Vihar)']",,,,,
972BUP_DTC,"['1819', 'Dholi Piao', 'temp_6093', 'Dholi Piao']","['2347', 'Meera Bagh', '2347', 'Meera Bagh']",,,,
972DOWN_DTC,"['2347', 'Meera Bagh', '2347', 'Meera Bagh']","['2943', 'Peera Garhi Chowk', '1379', 'Peera Garhi Chowk']",,,,
972UP_DTC,"['2939', 'Prehlad Vihar (Deep Vihar)', '2939', 'Prehlad Vihar (Deep Vihar)']","['2943', 'Peera Garhi Chowk', '1379', 'Peera Garhi Chowk']",,,,
975DOWN_DTC,"['1770', 'Moti Nagar Industrial Area', '1771', 'Moti Nagar Industrial Area']",,,,,
982UP_DTC,"['2917', 'Model Town II', '2917', 'Model Town II']",,,,,
988DOWN_DTC,"['1912', 'Bawana Depot', '1313', 'Bawana Depot']","['1920', 'Sultan Pur Crossing / Poothkhurd', '1920', 'Sultan Pur Crossing / Poothkhurd']","['1039', 'Punjabi Bagh Club', '1039', 'Punjabi Bagh Club']","['3728', 'Faiz Road', '2708', 'Faiz Road']","['temp_8321', 'Balmiki Mandir Marg', 'temp_8321', 'Balmiki Mandir Marg']",
990BUP_DTC,"['2014', 'Gole Market', '516', 'Gole Market']",,,,,
990EXTUP_DTC,"['1940', 'Rohini Sec 18', '1007', 'Rohini Sec 18']",,,,,
EXPRESS-344DOWN_DTC,"['temp_5380', 'Prithvi Raj Road Crossing', '1026', 'Prithvi Raj Road Crossing']",,,,,
EXPRESS-727AUP_DTC,"['3319', 'DPS Matiyala', '644', 'DPS Matiyala']",,,,,
EXPRESS-85AUP_DTC,"['692', 'Rohini Sec 20/21 More', '982', 'Rohini Sec 20/21 More']",,,,,
EXPRESS-91DOWN_DTC,"['3774', 'Panchkuian Road', '2877', 'Panchkuian Road']",,,,,
EXPRESS-970UP_DTC,"['3382', 'Prithvi Raj Road Crossing', '1026', 'Prithvi Raj Road Crossing']",,,,,
GL-23DOWN_DTC,"['67', 'Anand Vihar ISBT Main Road', '67', 'Anand Vihar ISBT Main Road']",,,,,
GL-23UP_DTC,"['temp_8197', 'Jharkhandi', 'temp_8197', 'Jharkhandi']",,,,,
GL-91UP_DTC,"['4250', 'Nangloi', '1372', 'Nangloi']","['1500', 'Nangloi JJ Colony Lokesh Cinema', '1500', 'Nangloi JJ Colony Lokesh Cinema']",,,,
OMS(+)UP_DTC,"['67', 'Anand Vihar ISBT Main Road', '67', 'Anand Vihar ISBT Main Road']","['temp_4439', 'C-1 Janak Puri', '174', 'C-1 Janak Puri']","['temp_7551', 'MMTC / Adhchini Village', '1012', 'MMTC / Adhchini Village']","['1719', 'Moti Bagh Gurudawara Nanakpura', '1719', 'Moti Bagh Gurudawara Nanakpura']","['2347', 'Meera Bagh', '2347', 'Meera Bagh']","['1379', 'Peera Garhi Chowk', '1379', 'Peera Garhi Chowk']"
OMS(-)DOWN_DTC,"['1750', 'Gagan Cinema', 'temp_4363', 'Gagan Cinema']","['2948', 'Meera Bagh Apartment', '2948', 'Meera Bagh Apartment']","['temp_5315', 'Moti Bagh Gurudawara Nanakpura', 'temp_5315', 'Moti Bagh Gurudawara Nanakpura']","['173', 'C-1 Janak Puri', '174', 'C-1 Janak Puri']",,
RL-75UP_DTC,"['3317', 'Dwarka Sec 13-3 Xing', '646', 'Dwarka Sec 13-3 Xing']",,,,,
TMS(-)DOWN_DTC,"['temp_5285', 'Gandhi Darshan', '1853', 'Gandhi Darshan']",,,,,
WESTDELHIMUDRIKA(+)UP_DTC,"['3319', 'DPS Matiyala', '644', 'DPS Matiyala']","['1819', 'Dholi Piao', 'temp_6093', 'Dholi Piao']","['2520', 'Moti Nagar Market', '1532', 'Moti Nagar Market']",,,
