routeid,stand1,stand2,stand3,stand4,stand5,stand6
307ADOWN_DTC,"['1837', 'Kalyan Puri Terminal', '1837', 'Kalyan Puri Terminal']",,,,,
307AUP_DTC,"['1129', 'Kalyan Puri Terminal', 'temp_8309', 'Kalyan Puri Terminal']",,,,,
309DOWN_DTC,"['3066', 'ITO', '134', 'ITO']",,,,,
310UP_DTC,"['temp_8321', 'Balmiki Mandir Marg', 'temp_8321', 'Balmiki Mandir Marg']",,,,,
313UP_DTC,"['65', 'Ram Prastha Temple', 'temp_4985', 'Ram Prastha Temple']","['2993', 'Shadipur Colony', '2993', 'Shadipur Colony']",,,,
319UP_DTC,"['temp_8197', 'Jharkhandi', 'temp_8197', 'Jharkhandi']",,,,,
323DOWN_DTC,"['1719', 'Moti Bagh Gurudawara Nanakpura', '1719', 'Moti Bagh Gurudawara Nanakpura']",,,,,
333DOWN_DTC,"['304', 'GTB Nagar / Haqiqat Nagar', '827', 'GTB Nagar / Haqiqat Nagar']",,,,,
333UP_DTC,"['3345', 'GTB Nagar / Haqiqat Nagar', '194', 'GTB Nagar / Haqiqat Nagar']",,,,,
335DOWN_DTC,"['temp_4494', 'Delhi Secretariat', '133', 'Delhi Secretariat']","['temp_5380', 'Prithvi Raj Road Crossing', '1026', 'Prithvi Raj Road Crossing']",,,,
335UP_DTC,"['1114', 'Delhi Secretariat', 'temp_4494', 'Delhi Secretariat']","['temp_5109', 'Zafrabad School', 'temp_5109', 'Zafrabad School']",,,,
336DOWN_DTC,"['temp_4494', 'Delhi Secretariat', '133', 'Delhi Secretariat']",,,,,
33ADOWN_DTC,"['1886', 'Yamuna Vihar Brij Puri', '1886', 'Yamuna Vihar Brij Puri']",,,,,
33AUP_DTC,"['1750', 'Gagan Cinema', '1177', 'Gagan Cinema']",,,,,
33CDOWN_DTC,"['temp_4427', 'Jagatpuri F-Block', '123', 'Jagatpuri F-Block']",,,,,
33DOWN_DTC,"['temp_7864', 'durga puri chowk', 'temp_7864', 'durga puri chowk']","['temp_5113', 'Shiv Mandir', 'temp_5427', 'Shiv Mandir']","['806', 'Yamuna Vihar Brijpuri', '806', 'Yamuna Vihar Brijpuri']",,,
